what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275138080578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275138106734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275138118578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275138119750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275138186875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275138731609
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275187423375
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275187505546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275187506562
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275189584218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275189586000
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275189800109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275189801484
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275196625177
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1275196625239
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275196656630
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275196661583
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275196946270
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275196946958
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275200466817
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275200467864
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1275200468786
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1275200474473
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1275200474489
started,bundle,org.eclipse.cdt.debug.core,6.0.0.200909110608,"org.eclipse.cdt.debug.core",1275200474895
